,date,rcp_scenario,temp
4249,2052-10-21,rcp85,18.95004507322585
4250,2052-10-22,rcp85,18.767634396416312
4251,2052-10-23,rcp85,18.612179450180356
4252,2052-10-24,rcp85,18.533277674274476
4253,2052-10-25,rcp85,18.516302417019105
4254,2052-10-26,rcp85,18.486468345373535
4255,2052-10-27,rcp85,18.50387134132256
4256,2052-10-28,rcp85,18.518850014839558
4257,2052-10-29,rcp85,18.536390853133206
4258,2052-10-30,rcp85,18.562044088757407
4259,2052-10-31,rcp85,18.582161450508853
4260,2022-11-1,rcp45,19.41743474635358
4261,2022-11-2,rcp45,19.420521682693323
4262,2022-11-3,rcp45,19.609403872842176
4263,2022-11-4,rcp45,19.720227145726028
4264,2022-11-5,rcp45,19.79273436965626
4265,2022-11-6,rcp45,19.583372751807776
4266,2022-11-7,rcp45,19.839263105951957
4267,2022-11-8,rcp45,20.395319091775264
4268,2022-11-9,rcp45,20.732389888030337
4269,2022-11-10,rcp45,20.962848480101712
4270,2022-11-11,rcp45,21.04423415064504
4271,2022-11-12,rcp45,20.02734145093318
4272,2022-11-13,rcp45,18.74170458958582
4273,2022-11-14,rcp45,17.568847945016774
4274,2022-11-15,rcp45,16.749724132271172
4275,2022-11-16,rcp45,15.968734395497643
4276,2022-11-17,rcp45,15.058202037862916
4277,2022-11-18,rcp45,14.557539667812755
4278,2022-11-19,rcp45,14.38290830541442
4279,2022-11-20,rcp45,14.410901764791392
4280,2022-11-21,rcp45,14.73690685004439
4281,2022-11-22,rcp45,15.13206774022934
4282,2022-11-23,rcp45,15.552827533061045
4283,2022-11-24,rcp45,15.859611967571785
4284,2022-11-25,rcp45,16.103430965037905
4285,2022-11-26,rcp45,16.325422836402243
4286,2022-11-27,rcp45,16.562786346238557
4287,2022-11-28,rcp45,16.766201710417242
4288,2022-11-29,rcp45,16.931724994947366
4289,2022-11-30,rcp45,17.062935609597236
4290,2027-11-1,rcp45,20.318148894740553
4291,2027-11-2,rcp45,20.412417534843208
4292,2027-11-3,rcp45,20.43890278388511
4293,2027-11-4,rcp45,20.404732537650464
4294,2027-11-5,rcp45,20.30291433169144
4295,2027-11-6,rcp45,20.165921625571492
4296,2027-11-7,rcp45,20.036945798476513
4297,2027-11-8,rcp45,19.919833244712628
4298,2027-11-9,rcp45,19.78839938512172
4299,2027-11-10,rcp45,19.54651374897112
4300,2027-11-11,rcp45,19.24428344860775
4301,2027-11-12,rcp45,17.91706750409827
4302,2027-11-13,rcp45,17.50949259421059
4303,2027-11-14,rcp45,17.384954640286843
4304,2027-11-15,rcp45,17.423835118010953
4305,2027-11-16,rcp45,17.551233674414664
4306,2027-11-17,rcp45,17.67946649941669
4307,2027-11-18,rcp45,17.798518597465783
4308,2027-11-19,rcp45,17.85908967890977
4309,2027-11-20,rcp45,17.658811764769386
4310,2027-11-21,rcp45,16.337267042103377
4311,2027-11-22,rcp45,16.266838447551184
4312,2027-11-23,rcp45,16.273431025512398
4313,2027-11-24,rcp45,16.351116360138544
4314,2027-11-25,rcp45,16.59780699896063
4315,2027-11-26,rcp45,16.762594059368297
4316,2027-11-27,rcp45,16.960267454634963
4317,2027-11-28,rcp45,17.304633114949304
4318,2027-11-29,rcp45,17.463218450121186
4319,2027-11-30,rcp45,17.52267417234263
4320,2032-11-1,rcp45,17.910647657137197
4321,2032-11-2,rcp45,17.66796507040456
4322,2032-11-3,rcp45,17.774608536759455
4323,2032-11-4,rcp45,17.962197632711288
4324,2032-11-5,rcp45,18.02710434298918
4325,2032-11-6,rcp45,17.447590114343072
4326,2032-11-7,rcp45,17.37661456331715
4327,2032-11-8,rcp45,17.282640697933918
4328,2032-11-9,rcp45,17.26371190751555
4329,2032-11-10,rcp45,17.32726608910839
4330,2032-11-11,rcp45,17.42717218304498
4331,2032-11-12,rcp45,17.62164702980671
4332,2032-11-13,rcp45,17.85122009428732
4333,2032-11-14,rcp45,18.03823462397485
4334,2032-11-15,rcp45,18.18810983788881
4335,2032-11-16,rcp45,18.428183770295405
4336,2032-11-17,rcp45,18.583343314734424
4337,2032-11-18,rcp45,18.6633789872705
4338,2032-11-19,rcp45,18.654369607028823
4339,2032-11-20,rcp45,18.630444285437967
4340,2032-11-21,rcp45,18.709739122394193
4341,2032-11-22,rcp45,18.798319701182336
4342,2032-11-23,rcp45,18.842909805931818
4343,2032-11-24,rcp45,18.84274313430329
4344,2032-11-25,rcp45,18.79671298339657
4345,2032-11-26,rcp45,18.782151113036115
4346,2032-11-27,rcp45,18.76907737519252
4347,2032-11-28,rcp45,18.787186029802744
4348,2032-11-29,rcp45,18.78735760615443
4349,2032-11-30,rcp45,18.765528291421127
4350,2037-11-1,rcp45,20.00315972196357
4351,2037-11-2,rcp45,20.033555973784452
4352,2037-11-3,rcp45,20.040188976759172
4353,2037-11-4,rcp45,20.00609460782036
4354,2037-11-5,rcp45,19.96085203472015
4355,2037-11-6,rcp45,19.92177450424394
4356,2037-11-7,rcp45,19.87281120194201
4357,2037-11-8,rcp45,19.818521871771917
4358,2037-11-9,rcp45,19.787619823621448
4359,2037-11-10,rcp45,19.735935922323876
4360,2037-11-11,rcp45,19.4748939918645
4361,2037-11-12,rcp45,19.196771021056698
4362,2037-11-13,rcp45,19.01547381712289
4363,2037-11-14,rcp45,18.80902698897561
4364,2037-11-15,rcp45,18.69860660706648
4365,2037-11-16,rcp45,18.61345613191591
4366,2037-11-17,rcp45,18.540933656977852
4367,2037-11-18,rcp45,18.47823964062181
4368,2037-11-19,rcp45,18.397781405708347
4369,2037-11-20,rcp45,18.377066956754863
4370,2037-11-21,rcp45,18.34765123224068
4371,2037-11-22,rcp45,18.282461309290635
4372,2037-11-23,rcp45,17.89586519732288
4373,2037-11-24,rcp45,16.95429194393793
4374,2037-11-25,rcp45,16.797424931449825
4375,2037-11-26,rcp45,16.637512383730538
4376,2037-11-27,rcp45,16.34815081062887
4377,2037-11-28,rcp45,16.31905544965498
4378,2037-11-29,rcp45,16.482256709259023
4379,2037-11-30,rcp45,16.600713158204442
4380,2042-11-1,rcp45,16.609123542092643
4381,2042-11-2,rcp45,16.85201943685105
4382,2042-11-3,rcp45,17.043187671840524
4383,2042-11-4,rcp45,17.280571651394315
4384,2042-11-5,rcp45,17.444275287389107
4385,2042-11-6,rcp45,17.52896255108971
4386,2042-11-7,rcp45,17.519913746097693
4387,2042-11-8,rcp45,17.539675502133903
4388,2042-11-9,rcp45,17.536950166322285
4389,2042-11-10,rcp45,17.51530319931879
4390,2042-11-11,rcp45,17.507239906151565
4391,2042-11-12,rcp45,17.517237268886113
4392,2042-11-13,rcp45,17.569903173480725
4393,2042-11-14,rcp45,17.608240268068645
4394,2042-11-15,rcp45,17.6163575190434
4395,2042-11-16,rcp45,17.62794898853267
4396,2042-11-17,rcp45,17.638258375091183
4397,2042-11-18,rcp45,16.8384940165205
4398,2042-11-19,rcp45,15.98340583315328
4399,2042-11-20,rcp45,15.536698527403535
4400,2042-11-21,rcp45,15.598287909339314
4401,2042-11-22,rcp45,15.728352585636188
