rbd,temp_2021,temp_2030_rcp45,temp_2030_rcp85
340,16.97374916,19.28409956,18.00938942
341,16.80769348,19.22356214,17.9715849
342,16.62299728,19.13393095,17.91347825
343,16.64700699,19.04685666,17.89432851
344,16.61140823,18.98053953,17.89903142
345,16.5727005,18.91133505,17.9017748
346,16.50014305,18.80357265,17.84013359
347,16.22549248,18.65125724,17.74141216
348,16.1099968,18.55537632,17.63548583
349,15.92045975,18.44981647,17.50350365
350,15.74671936,18.36935942,17.42855049
351,15.73010159,18.34695882,17.37916032
352,15.53040791,18.31493471,17.31659076
353,15.77585411,18.21681547,17.26790858
354,15.97870159,18.04287467,17.20222859
355,16.12547112,17.89442898,17.14582
356,15.99993038,17.80549991,17.1205414
357,15.74013042,17.71032445,17.07824136
358,15.74418831,17.6247298,17.04710148
359,15.99117661,17.55317191,17.02514149
360,15.95896816,17.5109312,17.00089183
361,15.95538712,17.45908728,16.96338239
362,15.7960825,17.40928536,16.93129455
363,15.63072872,17.38870979,16.90553326
364,15.56025028,17.35159259,16.8523627
365,15.54457378,17.30687175,16.76943181
