,date,temp_10m
199,20210719,22.11043357849121
200,20210720,21.80082130432129
201,20210721,21.936222076416016
202,20210722,22.13576889038086
203,20210723,22.178178787231445
204,20210724,22.030303955078125
205,20210725,22.25432586669922
206,20210726,22.85822868347168
207,20210727,22.430667877197266
208,20210728,22.56417465209961
209,20210729,22.768692016601562
210,20210730,22.932645797729492
211,20210731,23.145065307617188
212,20210801,23.24721336364746
213,20210802,23.326528549194336
214,20210803,23.78103256225586
215,20210804,23.621479034423828
216,20210805,23.73555564880371
217,20210806,23.756927490234375
218,20210807,24.134424209594727
219,20210808,24.673315048217773
220,20210809,25.3514347076416
221,20210810,25.284162521362305
222,20210811,25.3791561126709
223,20210812,25.524890899658203
224,20210813,25.72641944885254
225,20210814,25.77092933654785
226,20210815,25.761507034301758
227,20210816,25.708438873291016
228,20210817,26.017988204956055
229,20210818,25.656518936157227
230,20210819,25.848039627075195
231,20210820,25.865659713745117
232,20210821,25.90654945373535
233,20210822,25.942476272583008
234,20210823,26.013578414916992
235,20210824,26.118200302124023
236,20210825,26.09031867980957
237,20210826,26.05704116821289
238,20210827,26.0533504486084
239,20210828,25.94452476501465
240,20210829,25.544374465942383
241,20210830,25.244409561157227
242,20210831,25.085657119750977
243,20210901,25.042499542236328
244,20210902,24.95836067199707
245,20210903,24.838930130004883
246,20210904,24.753368377685547
247,20210905,24.736867904663086
248,20210906,24.752246856689453
249,20210907,24.728662490844727
250,20210908,24.723649978637695
251,20210909,24.60809326171875
252,20210910,24.504638671875
253,20210911,24.529191970825195
254,20210912,24.472688674926758
255,20210913,24.39568519592285
256,20210914,24.330272674560547
257,20210915,24.26083755493164
258,20210916,24.24091339111328
259,20210917,24.22049903869629
260,20210918,24.15031623840332
261,20210919,24.122045516967773
262,20210920,24.077543258666992
263,20210921,24.008403778076172
264,20210922,23.8184757232666
265,20210923,23.526052474975586
266,20210924,23.335615158081055
267,20210925,23.245899200439453
268,20210926,23.1986026763916
269,20210927,23.202117919921875
270,20210928,23.206573486328125
271,20210929,23.215740203857422
272,20210930,23.17259407043457
273,20211001,23.12574005126953
274,20211002,23.00046157836914
275,20211003,23.00454330444336
276,20211004,22.87596893310547
277,20211005,22.739341735839844
278,20211006,22.606786727905273
279,20211007,22.429723739624023
280,20211008,22.092884063720703
281,20211009,21.80766487121582
282,20211010,21.655853271484375
283,20211011,21.458641052246094
284,20211012,21.309316635131836
285,20211013,21.17211151123047
286,20211014,20.959108352661133
287,20211015,20.84868049621582
288,20211016,20.830278396606445
289,20211017,20.808670043945312
290,20211018,20.75828742980957
291,20211019,20.745285034179688
292,20211020,20.720632553100586
293,20211021,20.59545135498047
294,20211022,20.486148834228516
295,20211023,20.451574325561523
296,20211024,20.377534866333008
297,20211025,20.07757568359375
298,20211026,20.011058807373047
299,20211027,19.952037811279297
300,20211028,19.888023376464844
301,20211029,19.861711502075195
302,20211030,19.862533569335938
303,20211031,19.861244201660156
304,20211101,19.79747772216797
305,20211102,19.819921493530273
306,20211103,19.708995819091797
307,20211104,19.659875869750977
308,20211105,19.72591781616211
309,20211106,19.67829132080078
310,20211107,19.546606063842773
311,20211108,19.50910758972168
312,20211109,19.35167694091797
313,20211110,19.307249069213867
314,20211111,19.240501403808594
315,20211112,19.181377410888672
316,20211113,19.151792526245117
317,20211114,19.119585037231445
318,20211115,19.143291473388672
319,20211116,19.023300170898438
320,20211117,18.949520111083984
321,20211118,18.904197692871094
322,20211119,18.775554656982422
323,20211120,18.687644958496094
324,20211121,18.59284210205078
325,20211122,18.501850128173828
326,20211123,18.414846420288086
327,20211124,18.371971130371094
328,20211125,18.30539321899414
329,20211126,18.261810302734375
330,20211127,18.210763931274414
331,20211128,18.11190414428711
332,20211129,17.930978775024414
333,20211130,17.872051239013672
334,20211201,17.505102157592773
335,20211202,17.279260635375977
336,20211203,17.222606658935547
337,20211204,17.117679595947266
338,20211205,17.080032348632812
339,20211206,16.9737491607666
340,20211207,16.807693481445312
341,20211208,16.622997283935547
342,20211209,16.64700698852539
343,20211210,16.611408233642578
344,20211211,16.57270050048828
345,20211212,16.50014305114746
346,20211213,16.225492477416992
347,20211214,16.109996795654297
348,20211215,15.920459747314453
349,20211216,15.746719360351562
350,20211217,15.730101585388184
351,20211218,15.530407905578613
352,20211219,15.775854110717773
353,20211220,15.9787015914917
354,20211221,16.125471115112305
355,20211222,15.999930381774902
356,20211223,15.740130424499512
357,20211224,15.74418830871582
358,20211225,15.99117660522461
359,20211226,15.958968162536621
360,20211227,15.955387115478516
361,20211228,15.796082496643066
362,20211229,15.630728721618652
363,20211230,15.560250282287598
364,20211231,15.544573783874512
